	Sample.12	Sample.8	Sample.10	Sample.1	Sample.5	Sample.3	Sample.6	Sample.2	Sample.4	Sample.11	Sample.7	Sample.9
gene-1	8	11	11	53	100	41	37	7	17	49	29	39
gene-2	0	0	0	1	1	0	0	0	0	0	0	0
gene-3	1014	910	1547	4938	5739	2939	4070	1440	1184	1564	1359	2168
gene-4	0	0	0	0	4	2	0	0	0	3	0	1
gene-5	43	14	44	310	430	160	211	66	49	85	77	80
gene-6	0	1	1	43	26	10	3	1	7	21	4	5
gene-7	8	11	11	53	100	41	37	7	17	49	29	39
gene-8	516	573	974	10203	9616	4795	3891	1123	1212	2983	2015	3185
gene-9	10	11	20	55	66	47	73	33	17	32	27	19
gene-10	133	137	196	575	904	475	370	177	169	179	199	268
gene-11	8	22	19	42	37	14	9	9	5	36	14	28
gene-12	704	774	1094	4596	3883	1900	1493	489	455	2160	1499	2085
gene-13	1	1	1	1	3	1	5	0	0	0	0	0
gene-14	8	6	6	9	21	14	10	5	4	17	15	10
gene-15	1203	1142	1539	4638	5152	2459	5808	2162	1686	2034	1210	2153
gene-16	0	0	0	0	0	0	0	0	0	0	1	0
gene-17	1541	1234	1699	4749	6643	3036	2851	1621	1276	2338	1688	2458
gene-18	0	2	0	0	8	0	0	0	0	1	1	0
gene-19	356	390	463	2524	2923	1173	1797	437	516	985	707	1047
gene-20	12	6	3	16	36	15	15	6	10	18	5	17
gene-21	0	0	0	1	3	1	0	0	0	2	0	3
gene-22	0	0	0	4	5	4	2	0	0	1	1	0
gene-23	368	289	457	2939	3396	1544	2654	541	599	1177	1253	1277
gene-24	1774	1528	1016	1627	5494	2844	2164	3293	2485	1886	1485	1148
gene-25	0	0	0	0	0	0	0	0	0	0	2	0
gene-26	6140	4874	3476	2857	9197	4924	5444	6861	5269	5383	4023	3421
gene-27	0	0	0	0	0	0	0	0	0	0	2	0
gene-28	14	10	9	15	37	25	13	23	17	17	13	10
gene-29	0	0	0	0	2	0	0	0	0	0	0	0
gene-30	0	3	0	0	4	0	2	0	0	1	2	1
gene-31	6241	5286	4840	14528	24354	11343	5793	7378	5133	9696	5975	7618
gene-32	0	0	0	0	0	0	0	0	0	0	0	0
gene-33	6	2	0	1	5	2	0	1	3	1	1	0
gene-34	3314	2626	2041	523	2843	1689	2800	3839	2072	893	1784	726
gene-35	2350	1689	2637	2242	3282	1974	3521	2283	1561	1736	1401	1435
gene-36	550	549	365	352	949	532	646	571	289	745	794	458
gene-37	320	296	219	1537	3333	1697	198	420	283	1470	937	910
gene-38	0	0	0	2	3	1	0	0	0	2	2	0
gene-39	24	24	27	91	149	80	66	33	27	71	85	56
gene-40	1482	1391	1874	13883	14785	6394	12307	2490	2742	4981	4938	5034
gene-41	21	22	24	241	350	167	89	33	29	130	98	85
gene-42	2660	2706	4028	61009	52145	23535	20662	4658	5006	19217	12220	17414
gene-43	0	0	0	1	0	0	0	0	0	1	0	0
gene-44	0	0	0	0	0	0	0	0	0	0	0	0
gene-45	6	0	4	24	22	5	8	0	0	15	8	12
gene-46	0	0	0	0	0	0	0	0	0	0	0	0
gene-47	26	25	23	26	42	26	21	22	11	23	23	26
gene-48	0	0	0	0	0	0	0	0	0	0	0	0
gene-49	1	0	0	3	1	1	0	0	0	0	3	2
gene-50	0	0	0	0	0	0	0	0	0	0	0	0
gene-51	20	15	8	63	180	83	40	24	24	84	77	76
gene-52	1	2	3	13	12	5	1	0	4	9	2	6
gene-53	9	17	26	22	60	23	18	45	36	14	23	8
gene-54	83	57	77	56	135	59	145	133	94	30	38	23
gene-55	20	15	15	69	191	101	29	17	29	150	121	86
